 I.A.F. plot information for graphics
   63   33     4438.0000000     3304.0000000   63     3627.0000000     4346.0000000        332  1320.410921
   63   43     5556.0000000     3580.0000000   63     3627.0000000     4346.0000000        378  2075.523308
 
   64   67     4903.0000000     2676.0000000   64     5187.0000000     2478.0000000        278   346.208030
 
   65   37     4025.0000000     2285.0000000   65     2633.0000000     2836.0000000        206  1497.085502
 
   66   43     5556.0000000     3580.0000000   66     3632.0000000     5936.0000000        710  3041.794207
 
   67   67     4903.0000000     2676.0000000   42     5203.0000000     2798.0000000         20   323.857994
   67   67     4903.0000000     2676.0000000   64     5187.0000000     2478.0000000        278   346.208030
 
   68   37     4025.0000000     2285.0000000   68     3773.0000000     1644.0000000        710   688.756125
 
   69   69     5419.0000000     4150.0000000    7     2595.0000000     7563.0000000        710  4429.847063
   69   69     5419.0000000     4150.0000000   12     4275.0000000     5505.0000000        710  1773.347400
   69   69     5419.0000000     4150.0000000   15     3341.0000000     7299.0000000        710  3772.835141
   69   69     5419.0000000     4150.0000000   16     3055.0000000     7630.0000000        710  4207.005586
   69   69     5419.0000000     4150.0000000   17     2366.0000000     8092.0000000        392  4985.997694
   69   69     5419.0000000     4150.0000000   35     2778.0000000     7010.0000000        336  3892.875672
   69   69     5419.0000000     4150.0000000   36     2916.0000000     7626.0000000        710  4283.408106
   69   69     5419.0000000     4150.0000000   22     2755.0000000     8836.0000000        638  5390.314648
   69   69     5419.0000000     4150.0000000   21     3160.0000000     8636.0000000        278  5022.676279
 
   70    9     6063.0000000     1196.0000000   70     5514.0000000     1687.0000000        710   736.533774
 
   71    9     6063.0000000     1196.0000000   71     5380.0000000     1730.0000000        710   866.974625
 
   72    9     6063.0000000     1196.0000000   72     4867.0000000     1554.0000000        710  1248.431015
 
 
 
 Summary of Flows - unit by unit
 There follows in column order:
 1: Ref. No. of unit
 2: x-coordinate of unit
 3: y-coordinate of unit
 4: count
 5: number of flows
 6: total flow
 7: average distance of flow
 8: vector flow in x-direction with unit length
 9: vector flow in y-direction with unit length
 
    1     5132.0000000     2135.0000000      0   1       -710    -1322.3017810  -.704075   .710125
    2     4650.0000000     1645.0000000     11   1         82      740.1222872  -.629626  -.776899
    3     1823.0000000     2052.0000000      7   1       -206    -2214.2928894  -.994448  -.105225
    4     6076.0000000     2332.0000000      6   1       -278    -1136.0743814   .011443   .999935
    5     5132.0000000     2128.0000000      1   1       -638    -1317.3401231  -.706727   .707486
    6     5309.0000000     2710.0000000      1   1       -638     -904.3832152  -.273114  -.961982
    7     2595.0000000     7563.0000000      0   1       -710    -4429.8470628  -.637494   .770455
    8     5680.0000000     2205.0000000      2   1       -566    -1079.2451065  -.354878   .934913
    9     6063.0000000     1196.0000000    124  15       8218     1190.6336613  -.798775   .601630
   10     5134.0000000     2134.0000000      2   1       -566    -1320.1836993  -.703690   .710507
   11     2578.0000000     3720.0000000      1   3       -638    -1233.1320234  -.773980   .633210
   12     4275.0000000     5505.0000000      0   1       -710    -1773.3473997  -.645108   .764092
   13     3894.0000000     4672.0000000      0   1       -710    -1988.6447647  -.835745   .549118
   14     4803.0000000     1428.0000000      1   1       -638    -1281.1807054  -.983468   .181083
   15     3341.0000000     7299.0000000      0   1       -710    -3772.8351408  -.550779   .834651
   16     3055.0000000     7630.0000000      0   1       -710    -4207.0055859  -.561920   .827192
   17     2366.0000000     8092.0000000      0   2       -710    -3199.1463485  -.510692   .859764
   18     1385.0000000     8267.0000000     18   3        586     1035.0322216   .980069  -.198657
   19     3433.0000000     3143.0000000     15   2        370     1041.3104628  -.825280   .564724
   20     2629.0000000     8738.0000000      8   1       -134    -1330.1793112   .935212   .354088
   21     3160.0000000     8636.0000000      6   1       -278    -5022.6762786  -.449760   .893149
   22     2755.0000000     8836.0000000      1   1       -638    -5390.3146476  -.494220   .869337
   23     1554.0000000     7453.0000000      8   1       -134     -831.3585268   .203282  -.979120
   24     4505.0000000     3261.0000000      1   1       -638      -79.6115569   .841586  -.540123
   25     2824.0000000      450.0000000     15   3        370      815.4678573  -.493974   .869477
   26     4313.0000000     4526.0000000      0   1       -710    -1562.0387319  -.795755   .605619
   27     5064.0000000     1591.0000000      1   1       -638    -1074.2560216  -.929946   .367696
   28     2802.0000000     3572.0000000     11   1         82      268.4771871  -.834335   .551257
   29     2256.0000000     4686.0000000      0   3       -710    -2528.6078081  -.824465   .565912
   30     3019.0000000     1074.0000000      1   3       -638    -1041.9706896  -.744656  -.667449
   31     2666.0000000     3414.0000000      0   1       -710    -1766.7829521  -.769195   .639015
   32     4184.0000000     1070.0000000      1   2       -638    -1736.3013537  -.994194  -.107601
   33     4438.0000000     3304.0000000     28   3       1306     1039.0519894  -.774872   .632119
   34     4119.0000000     2800.0000000      0   1       -710     -523.5083571   .179558   .983747
   35     2778.0000000     7010.0000000      0   2       -710    -4167.3110964  -.651397   .758737
   36     2916.0000000     7626.0000000      0   1       -710    -4283.4081057  -.584348   .811503
   37     4025.0000000     2285.0000000    111  14       7282     1252.6785296  -.999705   .024282
   38     5677.0000000     2071.0000000      6   1       -278     -956.3581965  -.403614   .914929
   39     5752.0000000     2656.0000000      0   2       -710    -1290.4637545  -.208830   .977952
   40     5155.0000000     1771.0000000      0   1       -710    -1074.7506688  -.844847   .535008
   41     3056.0000000     1378.0000000     11   1         82      306.2433673  -.120819  -.992675
   42     5203.0000000     2798.0000000      0   3       -710     -284.4047596  -.275939  -.961175
   43     5556.0000000     3580.0000000    110  14       7210     2317.9696581  -.807895   .589326
   44     4985.0000000     3756.0000000      7   1       -206     -597.5089957  -.955634   .294556
   45     2378.0000000     6958.0000000      0   1       -710    -4637.9486845  -.685217   .728339
   46     2384.0000000     6235.0000000      4   1       -422    -4136.4971897  -.766832   .641847
   47     4057.0000000     4423.0000000      0   1       -710    -1719.7819629  -.871622   .490178
   48     1661.0000000      281.0000000      9   1        -62    -1175.2148740  -.989606  -.143803
   49     3146.0000000     1199.0000000      0   1       -710    -1397.1531770  -.629136  -.777295
   50     4958.0000000     3483.0000000      2   1       -566     -605.8159787  -.987098  -.160115
   51     1952.0000000     2166.0000000      0   1       -710    -2076.4127721  -.998356  -.057310
   52     3270.0000000     1051.0000000      7   1       -206    -1446.6447387  -.521897  -.853008
   53     3008.0000000     5108.0000000      1   1       -638    -2971.0415682  -.857612   .514298
   54     5194.0000000     2884.0000000     17   1        514       86.4696479   .104083  -.994569
   55     4120.0000000     2797.0000000      0   1       -710     -520.7388981   .182433   .983218
   56     2251.0000000      649.0000000     14   1        298      653.8539592  -.931401  -.363996
   57     1642.0000000      411.0000000      5   2       -350     -732.4169360  -.957752  -.287595
   58     4259.0000000     3214.0000000     15   1        370     2485.7178038  -.805803   .592183
   59     3975.0000000     2970.0000000      0   1       -710     -686.8223933  -.072799   .997347
   60     5847.0000000     2123.0000000      9   1        -62     -951.8324432  -.226931   .973911
   61     2747.0000000     1928.0000000      1   1       -638    -1326.9261472  -.963128  -.269043
   62     2411.0000000     2205.0000000      2   1       -566    -1615.9814355  -.998774  -.049506
   63     3627.0000000     4346.0000000      0   2       -710    -1722.4285014  -.843609   .536958
   64     5187.0000000     2478.0000000      6   1       -278     -346.2080299   .820316  -.571910
   65     2633.0000000     2836.0000000      7   1       -206    -1497.0855019  -.929807   .368048
   66     3632.0000000     5936.0000000      0   1       -710    -3041.7942074  -.632521   .774543
   67     4903.0000000     2676.0000000     14   2        298      344.7080275   .850199  -.526461
   68     3773.0000000     1644.0000000      0   1       -710     -688.7561252  -.365877  -.930663
   69     5419.0000000     4150.0000000     82   9       5194     4083.3686584  -.574986   .818163
   70     5514.0000000     1687.0000000      0   1       -710     -736.5337738  -.745383   .666636
   71     5380.0000000     1730.0000000      0   1       -710     -866.9746248  -.787797   .615935
   72     4867.0000000     1554.0000000      0   1       -710    -1248.4310153  -.958002   .286760
 
 
 The distance to regularity of the actual data is :
     845066.0565880406
 
 
 Permuted data
 
 Distances to regularity of the permuted data are :
     416229.8511967307
     554389.7236416306
     649826.0789476470
     594324.1071497860
     737344.8464883158
     711901.6180324128
     953680.7507484920
     769040.1500823677
     799515.8737568978
     573997.3441005769
     538924.5755189423
     773264.6871362767
     634389.3727142707
     671502.6457032561
     938138.2634658819
     679825.1948476411
    1331020.2689959640
    1254864.7931530670
     698904.8521964640
     591389.7457066049
     541142.0809431797
     852082.3259240148
     621715.3880637989
     846784.7995424006
     715619.4437636493
     749249.7053401029
     960521.4179784989
     495960.2958796847
     718583.2044885695
     604941.5616533890
     507800.3890856418
     845343.6631176500
    1017095.9170857920
     702780.9200821646
     706538.7740974627
     785682.6699122726
     657568.5357428578
     756987.4577612862
    1299693.2618214520
     989043.0639875738
     741722.2079528295
     958830.2375751289
    1001484.6959161300
    1205245.4219096270
     888389.8300834759
     965567.9909556202
     623775.2389112401
     431109.9827416499
     853290.4585019944
     700192.8965495701
     857261.7204025752
     661435.2279442380
     756720.2599098872
     848226.5492047827
     654116.6707618323
     508876.6321395726
     851995.2589720722
     988909.0707466969
     617231.6933051858
     866806.9043496103
     807937.4670043695
     785155.6983571552
     730106.7410282260
     582913.0287235449
     729250.2331500852
     531420.2367398769
     622393.2377372213
     722697.3272497447
     903876.5347488974
     637437.0366126259
     700776.5825171694
     978001.7114164191
     774638.3794185140
     904862.6569946876
     680311.5391717821
    1249835.7150913710
    1238670.1541201170
     670858.7562991960
     613046.7083804223
     908639.9428158547
     663091.6579700788
     742608.0450658576
     569953.4055292899
     616843.7262006304
     765508.3430871333
     843238.7742839319
     612361.5934456253
     593171.6178791695
     790405.5668489373
     738984.3372128400
     797492.4702385569
     701418.3744930660
     838107.5850635871
     880328.0727693945
     576931.0394311304
     798211.3064714420
     787804.6040714068
     636479.4495827280
     650660.7964100002
    1054864.0316237710
     976986.1614264161
     522314.9841978462
     560694.9222518042
     656892.4777898045
     656672.2030220771
     563668.7239710969
     672593.3439463584
     687992.1241836821
     699121.5396523938
     532377.9661887877
     852756.1541616415
     786662.1496238376
     675405.8815716566
     871993.7919223184
     508598.6352177435
     850579.2821064092
     513448.1329580965
     555691.2209605255
     682299.3932825145
     800505.6032346397
     699378.1200490524
     718371.7810508123
     588316.8565884624
     733042.7257806910
     532576.2507037721
     691066.3554419896
     724212.9951515782
    1070810.8796389730
     731190.4328841488
     685485.6074012487
     640492.6021701517
     692964.8638611103
     659105.3909792831
     583323.6512733204
     979086.9402151369
     607241.4590655014
     746144.5851517834
     821114.4182464343
     913685.1978701660
     758936.7277316150
     497609.2793040741
     662139.0124127746
     557877.6164950751
    1008116.4992883740
     859224.2886266469
     879629.8947786144
     612072.5364459615
     551840.6884511727
    1190243.7062623060
     871856.4746092318
     892965.1062382365
     485862.5184207904
     914886.8356970332
     772740.2662341924
     884629.5575972141
     856827.4157128800
     628970.1921145900
     773914.8277990971
     813912.0698816337
     695137.3551660641
     621688.7481135194
     588459.7544969260
     692744.6451343782
     560648.1146300114
     763641.8859491735
     494202.2342455571
     602880.3390291598
     546185.1651444382
     642386.8186862296
    1079754.8924894350
     485342.4248211335
     813237.0435968763
     854551.9043788168
     864642.0802932819
     704559.0926003062
     461963.4916768835
    1431447.4093608100
     903074.7789048343
     557889.0937502041
     606445.4407419027
     945633.1963588423
     732785.3534943952
     843126.4095744300
     606655.1925679514
     831775.8561157595
    1026073.7146088040
     915742.7899543218
     875466.7665565519
     722488.4817479809
     868749.4069760959
     859782.2454437512
     586757.6144206360
     886195.7206023405
     558075.3568310840
     605456.6073444643
     546513.4719551140
    1309154.1563482830
     887223.2941255579
     599582.6458209342
     609106.3854334361
     945019.8836608498
     868701.7502033801
     670667.5633137276
     581035.2473877525
    1238194.9272436010
     554203.0825165820
     952116.3128222631
    1021568.8815714200
     730669.2107003280
     608426.6524799869
     514573.0625778776
     658346.5840073009
     615233.6120230110
     543328.6577100450
     993582.8233150172
     529175.4248022703
     602766.1864237994
     596153.6027228870
     722556.8450787185
     777288.6809873418
     878682.3675754643
     807027.0728913877
     484205.5751583048
     539344.7661105575
     611740.8976607409
     974924.5353088845
     850341.7481391584
    1061722.8457173680
     568294.7197418766
     818046.3769460341
     973882.4221229870
     890155.7628406207
     521023.8242464340
     668202.5131988426
     719154.4577838301
     603448.4195359206
     824827.4655339338
     940896.0957204489
     809501.0346380235
     677170.4306124235
     767429.5295672673
     622379.9079172990
     772023.0335130449
     567988.3382229620
     671474.3833820083
